"Statistic","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment","2006M11","15 - 24 years","Both sexes","Thousand","35.5"
"Seasonally Adjusted Monthly Unemployment","2006M11","15 - 24 years","Male","Thousand","20.1"
"Seasonally Adjusted Monthly Unemployment","2006M11","15 - 24 years","Female","Thousand","15.4"
"Seasonally Adjusted Monthly Unemployment","2006M11","15 - 74 years","Both sexes","Thousand","103.7"
"Seasonally Adjusted Monthly Unemployment","2006M11","15 - 74 years","Male","Thousand","58.9"
"Seasonally Adjusted Monthly Unemployment","2006M11","15 - 74 years","Female","Thousand","44.8"
"Seasonally Adjusted Monthly Unemployment","2006M11","25 - 74 years","Both sexes","Thousand","68.2"
"Seasonally Adjusted Monthly Unemployment","2006M11","25 - 74 years","Male","Thousand","38.8"
"Seasonally Adjusted Monthly Unemployment","2006M11","25 - 74 years","Female","Thousand","29.4"
"Seasonally Adjusted Monthly Unemployment","2006M12","15 - 24 years","Both sexes","Thousand","37"
"Seasonally Adjusted Monthly Unemployment","2006M12","15 - 24 years","Male","Thousand","21.4"
"Seasonally Adjusted Monthly Unemployment","2006M12","15 - 24 years","Female","Thousand","15.6"
"Seasonally Adjusted Monthly Unemployment","2006M12","15 - 74 years","Both sexes","Thousand","106.5"
"Seasonally Adjusted Monthly Unemployment","2006M12","15 - 74 years","Male","Thousand","60.7"
"Seasonally Adjusted Monthly Unemployment","2006M12","15 - 74 years","Female","Thousand","45.8"
"Seasonally Adjusted Monthly Unemployment","2006M12","25 - 74 years","Both sexes","Thousand","69.5"
"Seasonally Adjusted Monthly Unemployment","2006M12","25 - 74 years","Male","Thousand","39.3"
"Seasonally Adjusted Monthly Unemployment","2006M12","25 - 74 years","Female","Thousand","30.2"
"Seasonally Adjusted Monthly Unemployment","2007M01","15 - 24 years","Both sexes","Thousand","39.7"
"Seasonally Adjusted Monthly Unemployment","2007M01","15 - 24 years","Male","Thousand","24"
"Seasonally Adjusted Monthly Unemployment","2007M01","15 - 24 years","Female","Thousand","15.7"
"Seasonally Adjusted Monthly Unemployment","2007M01","15 - 74 years","Both sexes","Thousand","110.5"
"Seasonally Adjusted Monthly Unemployment","2007M01","15 - 74 years","Male","Thousand","63.1"
"Seasonally Adjusted Monthly Unemployment","2007M01","15 - 74 years","Female","Thousand","47.5"
"Seasonally Adjusted Monthly Unemployment","2007M01","25 - 74 years","Both sexes","Thousand","70.8"
"Seasonally Adjusted Monthly Unemployment","2007M01","25 - 74 years","Male","Thousand","39.1"
"Seasonally Adjusted Monthly Unemployment","2007M01","25 - 74 years","Female","Thousand","31.7"
"Seasonally Adjusted Monthly Unemployment","2007M02","15 - 24 years","Both sexes","Thousand","41.1"
"Seasonally Adjusted Monthly Unemployment","2007M02","15 - 24 years","Male","Thousand","25.3"
"Seasonally Adjusted Monthly Unemployment","2007M02","15 - 24 years","Female","Thousand","15.9"
"Seasonally Adjusted Monthly Unemployment","2007M02","15 - 74 years","Both sexes","Thousand","113.7"
"Seasonally Adjusted Monthly Unemployment","2007M02","15 - 74 years","Male","Thousand","65.2"
"Seasonally Adjusted Monthly Unemployment","2007M02","15 - 74 years","Female","Thousand","48.5"
"Seasonally Adjusted Monthly Unemployment","2007M02","25 - 74 years","Both sexes","Thousand","72.6"
"Seasonally Adjusted Monthly Unemployment","2007M02","25 - 74 years","Male","Thousand","40"
"Seasonally Adjusted Monthly Unemployment","2007M02","25 - 74 years","Female","Thousand","32.6"
"Seasonally Adjusted Monthly Unemployment","2007M03","15 - 24 years","Both sexes","Thousand","42.7"
"Seasonally Adjusted Monthly Unemployment","2007M03","15 - 24 years","Male","Thousand","26.1"
"Seasonally Adjusted Monthly Unemployment","2007M03","15 - 24 years","Female","Thousand","16.7"
"Seasonally Adjusted Monthly Unemployment","2007M03","15 - 74 years","Both sexes","Thousand","115"
"Seasonally Adjusted Monthly Unemployment","2007M03","15 - 74 years","Male","Thousand","65.7"
"Seasonally Adjusted Monthly Unemployment","2007M03","15 - 74 years","Female","Thousand","49.3"
"Seasonally Adjusted Monthly Unemployment","2007M03","25 - 74 years","Both sexes","Thousand","72.3"
"Seasonally Adjusted Monthly Unemployment","2007M03","25 - 74 years","Male","Thousand","39.6"
"Seasonally Adjusted Monthly Unemployment","2007M03","25 - 74 years","Female","Thousand","32.6"
"Seasonally Adjusted Monthly Unemployment","2007M04","15 - 24 years","Both sexes","Thousand","43.7"
"Seasonally Adjusted Monthly Unemployment","2007M04","15 - 24 years","Male","Thousand","25.9"
"Seasonally Adjusted Monthly Unemployment","2007M04","15 - 24 years","Female","Thousand","17.8"
"Seasonally Adjusted Monthly Unemployment","2007M04","15 - 74 years","Both sexes","Thousand","116.5"
"Seasonally Adjusted Monthly Unemployment","2007M04","15 - 74 years","Male","Thousand","65"
"Seasonally Adjusted Monthly Unemployment","2007M04","15 - 74 years","Female","Thousand","51.5"
"Seasonally Adjusted Monthly Unemployment","2007M04","25 - 74 years","Both sexes","Thousand","72.8"
"Seasonally Adjusted Monthly Unemployment","2007M04","25 - 74 years","Male","Thousand","39"
"Seasonally Adjusted Monthly Unemployment","2007M04","25 - 74 years","Female","Thousand","33.7"
"Seasonally Adjusted Monthly Unemployment","2007M05","15 - 24 years","Both sexes","Thousand","43.2"
"Seasonally Adjusted Monthly Unemployment","2007M05","15 - 24 years","Male","Thousand","25.5"
"Seasonally Adjusted Monthly Unemployment","2007M05","15 - 24 years","Female","Thousand","17.7"
"Seasonally Adjusted Monthly Unemployment","2007M05","15 - 74 years","Both sexes","Thousand","116"
"Seasonally Adjusted Monthly Unemployment","2007M05","15 - 74 years","Male","Thousand","64.2"
"Seasonally Adjusted Monthly Unemployment","2007M05","15 - 74 years","Female","Thousand","51.8"
"Seasonally Adjusted Monthly Unemployment","2007M05","25 - 74 years","Both sexes","Thousand","72.8"
"Seasonally Adjusted Monthly Unemployment","2007M05","25 - 74 years","Male","Thousand","38.7"
"Seasonally Adjusted Monthly Unemployment","2007M05","25 - 74 years","Female","Thousand","34.1"
"Seasonally Adjusted Monthly Unemployment","2007M06","15 - 24 years","Both sexes","Thousand","43"
"Seasonally Adjusted Monthly Unemployment","2007M06","15 - 24 years","Male","Thousand","25.4"
"Seasonally Adjusted Monthly Unemployment","2007M06","15 - 24 years","Female","Thousand","17.5"
"Seasonally Adjusted Monthly Unemployment","2007M06","15 - 74 years","Both sexes","Thousand","116.6"
"Seasonally Adjusted Monthly Unemployment","2007M06","15 - 74 years","Male","Thousand","64.3"
"Seasonally Adjusted Monthly Unemployment","2007M06","15 - 74 years","Female","Thousand","52.3"
"Seasonally Adjusted Monthly Unemployment","2007M06","25 - 74 years","Both sexes","Thousand","73.6"
"Seasonally Adjusted Monthly Unemployment","2007M06","25 - 74 years","Male","Thousand","38.9"
"Seasonally Adjusted Monthly Unemployment","2007M06","25 - 74 years","Female","Thousand","34.8"
"Seasonally Adjusted Monthly Unemployment","2007M07","15 - 24 years","Both sexes","Thousand","40.9"
"Seasonally Adjusted Monthly Unemployment","2007M07","15 - 24 years","Male","Thousand","25.1"
"Seasonally Adjusted Monthly Unemployment","2007M07","15 - 24 years","Female","Thousand","15.8"
"Seasonally Adjusted Monthly Unemployment","2007M07","15 - 74 years","Both sexes","Thousand","113.7"
"Seasonally Adjusted Monthly Unemployment","2007M07","15 - 74 years","Male","Thousand","64.4"
"Seasonally Adjusted Monthly Unemployment","2007M07","15 - 74 years","Female","Thousand","49.3"
"Seasonally Adjusted Monthly Unemployment","2007M07","25 - 74 years","Both sexes","Thousand","72.8"
"Seasonally Adjusted Monthly Unemployment","2007M07","25 - 74 years","Male","Thousand","39.3"
"Seasonally Adjusted Monthly Unemployment","2007M07","25 - 74 years","Female","Thousand","33.4"
"Seasonally Adjusted Monthly Unemployment","2007M08","15 - 24 years","Both sexes","Thousand","40.7"
"Seasonally Adjusted Monthly Unemployment","2007M08","15 - 24 years","Male","Thousand","25.2"
"Seasonally Adjusted Monthly Unemployment","2007M08","15 - 24 years","Female","Thousand","15.5"
"Seasonally Adjusted Monthly Unemployment","2007M08","15 - 74 years","Both sexes","Thousand","114.1"
"Seasonally Adjusted Monthly Unemployment","2007M08","15 - 74 years","Male","Thousand","65.6"
"Seasonally Adjusted Monthly Unemployment","2007M08","15 - 74 years","Female","Thousand","48.5"
"Seasonally Adjusted Monthly Unemployment","2007M08","25 - 74 years","Both sexes","Thousand","73.4"
"Seasonally Adjusted Monthly Unemployment","2007M08","25 - 74 years","Male","Thousand","40.4"
"Seasonally Adjusted Monthly Unemployment","2007M08","25 - 74 years","Female","Thousand","33.1"
"Seasonally Adjusted Monthly Unemployment","2007M09","15 - 24 years","Both sexes","Thousand","40.6"
"Seasonally Adjusted Monthly Unemployment","2007M09","15 - 24 years","Male","Thousand","25.2"
"Seasonally Adjusted Monthly Unemployment","2007M09","15 - 24 years","Female","Thousand","15.3"
"Seasonally Adjusted Monthly Unemployment","2007M09","15 - 74 years","Both sexes","Thousand","114.8"
"Seasonally Adjusted Monthly Unemployment","2007M09","15 - 74 years","Male","Thousand","67.5"
"Seasonally Adjusted Monthly Unemployment","2007M09","15 - 74 years","Female","Thousand","47.3"
"Seasonally Adjusted Monthly Unemployment","2007M09","25 - 74 years","Both sexes","Thousand","74.2"
"Seasonally Adjusted Monthly Unemployment","2007M09","25 - 74 years","Male","Thousand","42.2"
"Seasonally Adjusted Monthly Unemployment","2007M09","25 - 74 years","Female","Thousand","32"
"Seasonally Adjusted Monthly Unemployment","2007M10","15 - 24 years","Both sexes","Thousand","42.1"
"Seasonally Adjusted Monthly Unemployment","2007M10","15 - 24 years","Male","Thousand","25.5"
"Seasonally Adjusted Monthly Unemployment","2007M10","15 - 24 years","Female","Thousand","16.6"
"Seasonally Adjusted Monthly Unemployment","2007M10","15 - 74 years","Both sexes","Thousand","118.8"
"Seasonally Adjusted Monthly Unemployment","2007M10","15 - 74 years","Male","Thousand","70.1"
"Seasonally Adjusted Monthly Unemployment","2007M10","15 - 74 years","Female","Thousand","48.7"
"Seasonally Adjusted Monthly Unemployment","2007M10","25 - 74 years","Both sexes","Thousand","76.7"
"Seasonally Adjusted Monthly Unemployment","2007M10","25 - 74 years","Male","Thousand","44.7"
"Seasonally Adjusted Monthly Unemployment","2007M10","25 - 74 years","Female","Thousand","32.1"
"Seasonally Adjusted Monthly Unemployment","2007M11","15 - 24 years","Both sexes","Thousand","43.5"
"Seasonally Adjusted Monthly Unemployment","2007M11","15 - 24 years","Male","Thousand","26.3"
"Seasonally Adjusted Monthly Unemployment","2007M11","15 - 24 years","Female","Thousand","17.2"
"Seasonally Adjusted Monthly Unemployment","2007M11","15 - 74 years","Both sexes","Thousand","123"
"Seasonally Adjusted Monthly Unemployment","2007M11","15 - 74 years","Male","Thousand","73.4"
"Seasonally Adjusted Monthly Unemployment","2007M11","15 - 74 years","Female","Thousand","49.6"
"Seasonally Adjusted Monthly Unemployment","2007M11","25 - 74 years","Both sexes","Thousand","79.5"
"Seasonally Adjusted Monthly Unemployment","2007M11","25 - 74 years","Male","Thousand","47"
"Seasonally Adjusted Monthly Unemployment","2007M11","25 - 74 years","Female","Thousand","32.4"
"Seasonally Adjusted Monthly Unemployment","2007M12","15 - 24 years","Both sexes","Thousand","44.6"
"Seasonally Adjusted Monthly Unemployment","2007M12","15 - 24 years","Male","Thousand","27.2"
"Seasonally Adjusted Monthly Unemployment","2007M12","15 - 24 years","Female","Thousand","17.4"
"Seasonally Adjusted Monthly Unemployment","2007M12","15 - 74 years","Both sexes","Thousand","124.1"
"Seasonally Adjusted Monthly Unemployment","2007M12","15 - 74 years","Male","Thousand","74.5"
"Seasonally Adjusted Monthly Unemployment","2007M12","15 - 74 years","Female","Thousand","49.6"
"Seasonally Adjusted Monthly Unemployment","2007M12","25 - 74 years","Both sexes","Thousand","79.5"
"Seasonally Adjusted Monthly Unemployment","2007M12","25 - 74 years","Male","Thousand","47.3"
"Seasonally Adjusted Monthly Unemployment","2007M12","25 - 74 years","Female","Thousand","32.2"
"Seasonally Adjusted Monthly Unemployment","2008M01","15 - 24 years","Both sexes","Thousand","45.7"
"Seasonally Adjusted Monthly Unemployment","2008M01","15 - 24 years","Male","Thousand","28.9"
"Seasonally Adjusted Monthly Unemployment","2008M01","15 - 24 years","Female","Thousand","16.9"
"Seasonally Adjusted Monthly Unemployment","2008M01","15 - 74 years","Both sexes","Thousand","124.4"
"Seasonally Adjusted Monthly Unemployment","2008M01","15 - 74 years","Male","Thousand","76.8"
"Seasonally Adjusted Monthly Unemployment","2008M01","15 - 74 years","Female","Thousand","47.7"
"Seasonally Adjusted Monthly Unemployment","2008M01","25 - 74 years","Both sexes","Thousand","78.7"
"Seasonally Adjusted Monthly Unemployment","2008M01","25 - 74 years","Male","Thousand","47.9"
"Seasonally Adjusted Monthly Unemployment","2008M01","25 - 74 years","Female","Thousand","30.8"
"Seasonally Adjusted Monthly Unemployment","2008M02","15 - 24 years","Both sexes","Thousand","46.9"
"Seasonally Adjusted Monthly Unemployment","2008M02","15 - 24 years","Male","Thousand","30.5"
"Seasonally Adjusted Monthly Unemployment","2008M02","15 - 24 years","Female","Thousand","16.4"
"Seasonally Adjusted Monthly Unemployment","2008M02","15 - 74 years","Both sexes","Thousand","125.4"
"Seasonally Adjusted Monthly Unemployment","2008M02","15 - 74 years","Male","Thousand","79"
"Seasonally Adjusted Monthly Unemployment","2008M02","15 - 74 years","Female","Thousand","46.4"
"Seasonally Adjusted Monthly Unemployment","2008M02","25 - 74 years","Both sexes","Thousand","78.5"
"Seasonally Adjusted Monthly Unemployment","2008M02","25 - 74 years","Male","Thousand","48.4"
"Seasonally Adjusted Monthly Unemployment","2008M02","25 - 74 years","Female","Thousand","30"
"Seasonally Adjusted Monthly Unemployment","2008M03","15 - 24 years","Both sexes","Thousand","47.8"
"Seasonally Adjusted Monthly Unemployment","2008M03","15 - 24 years","Male","Thousand","31.7"
"Seasonally Adjusted Monthly Unemployment","2008M03","15 - 24 years","Female","Thousand","16.1"
"Seasonally Adjusted Monthly Unemployment","2008M03","15 - 74 years","Both sexes","Thousand","130.4"
"Seasonally Adjusted Monthly Unemployment","2008M03","15 - 74 years","Male","Thousand","81.8"
"Seasonally Adjusted Monthly Unemployment","2008M03","15 - 74 years","Female","Thousand","48.6"
"Seasonally Adjusted Monthly Unemployment","2008M03","25 - 74 years","Both sexes","Thousand","82.6"
"Seasonally Adjusted Monthly Unemployment","2008M03","25 - 74 years","Male","Thousand","50.1"
"Seasonally Adjusted Monthly Unemployment","2008M03","25 - 74 years","Female","Thousand","32.6"
"Seasonally Adjusted Monthly Unemployment","2008M04","15 - 24 years","Both sexes","Thousand","48.2"
"Seasonally Adjusted Monthly Unemployment","2008M04","15 - 24 years","Male","Thousand","32.3"
"Seasonally Adjusted Monthly Unemployment","2008M04","15 - 24 years","Female","Thousand","15.9"
"Seasonally Adjusted Monthly Unemployment","2008M04","15 - 74 years","Both sexes","Thousand","131.6"
"Seasonally Adjusted Monthly Unemployment","2008M04","15 - 74 years","Male","Thousand","83.8"
"Seasonally Adjusted Monthly Unemployment","2008M04","15 - 74 years","Female","Thousand","47.8"
"Seasonally Adjusted Monthly Unemployment","2008M04","25 - 74 years","Both sexes","Thousand","83.3"
"Seasonally Adjusted Monthly Unemployment","2008M04","25 - 74 years","Male","Thousand","51.4"
"Seasonally Adjusted Monthly Unemployment","2008M04","25 - 74 years","Female","Thousand","31.9"
"Seasonally Adjusted Monthly Unemployment","2008M05","15 - 24 years","Both sexes","Thousand","50.5"
"Seasonally Adjusted Monthly Unemployment","2008M05","15 - 24 years","Male","Thousand","33.5"
"Seasonally Adjusted Monthly Unemployment","2008M05","15 - 24 years","Female","Thousand","17"
"Seasonally Adjusted Monthly Unemployment","2008M05","15 - 74 years","Both sexes","Thousand","138.8"
"Seasonally Adjusted Monthly Unemployment","2008M05","15 - 74 years","Male","Thousand","87.6"
"Seasonally Adjusted Monthly Unemployment","2008M05","15 - 74 years","Female","Thousand","51.2"
"Seasonally Adjusted Monthly Unemployment","2008M05","25 - 74 years","Both sexes","Thousand","88.3"
"Seasonally Adjusted Monthly Unemployment","2008M05","25 - 74 years","Male","Thousand","54"
"Seasonally Adjusted Monthly Unemployment","2008M05","25 - 74 years","Female","Thousand","34.2"
"Seasonally Adjusted Monthly Unemployment","2008M06","15 - 24 years","Both sexes","Thousand","54.7"
"Seasonally Adjusted Monthly Unemployment","2008M06","15 - 24 years","Male","Thousand","35.7"
"Seasonally Adjusted Monthly Unemployment","2008M06","15 - 24 years","Female","Thousand","19"
"Seasonally Adjusted Monthly Unemployment","2008M06","15 - 74 years","Both sexes","Thousand","149.1"
"Seasonally Adjusted Monthly Unemployment","2008M06","15 - 74 years","Male","Thousand","93.6"
"Seasonally Adjusted Monthly Unemployment","2008M06","15 - 74 years","Female","Thousand","55.5"
"Seasonally Adjusted Monthly Unemployment","2008M06","25 - 74 years","Both sexes","Thousand","94.4"
"Seasonally Adjusted Monthly Unemployment","2008M06","25 - 74 years","Male","Thousand","57.9"
"Seasonally Adjusted Monthly Unemployment","2008M06","25 - 74 years","Female","Thousand","36.5"
"Seasonally Adjusted Monthly Unemployment","2008M07","15 - 24 years","Both sexes","Thousand","61.5"
"Seasonally Adjusted Monthly Unemployment","2008M07","15 - 24 years","Male","Thousand","38.6"
"Seasonally Adjusted Monthly Unemployment","2008M07","15 - 24 years","Female","Thousand","22.9"
"Seasonally Adjusted Monthly Unemployment","2008M07","15 - 74 years","Both sexes","Thousand","163.2"
"Seasonally Adjusted Monthly Unemployment","2008M07","15 - 74 years","Male","Thousand","101.7"
"Seasonally Adjusted Monthly Unemployment","2008M07","15 - 74 years","Female","Thousand","61.5"
"Seasonally Adjusted Monthly Unemployment","2008M07","25 - 74 years","Both sexes","Thousand","101.7"
"Seasonally Adjusted Monthly Unemployment","2008M07","25 - 74 years","Male","Thousand","63"
"Seasonally Adjusted Monthly Unemployment","2008M07","25 - 74 years","Female","Thousand","38.6"
"Seasonally Adjusted Monthly Unemployment","2008M08","15 - 24 years","Both sexes","Thousand","66.3"
"Seasonally Adjusted Monthly Unemployment","2008M08","15 - 24 years","Male","Thousand","40.8"
"Seasonally Adjusted Monthly Unemployment","2008M08","15 - 24 years","Female","Thousand","25.5"
"Seasonally Adjusted Monthly Unemployment","2008M08","15 - 74 years","Both sexes","Thousand","175.1"
"Seasonally Adjusted Monthly Unemployment","2008M08","15 - 74 years","Male","Thousand","108.5"
"Seasonally Adjusted Monthly Unemployment","2008M08","15 - 74 years","Female","Thousand","66.6"
"Seasonally Adjusted Monthly Unemployment","2008M08","25 - 74 years","Both sexes","Thousand","108.8"
"Seasonally Adjusted Monthly Unemployment","2008M08","25 - 74 years","Male","Thousand","67.8"
"Seasonally Adjusted Monthly Unemployment","2008M08","25 - 74 years","Female","Thousand","41.1"
"Seasonally Adjusted Monthly Unemployment","2008M09","15 - 24 years","Both sexes","Thousand","69.2"
"Seasonally Adjusted Monthly Unemployment","2008M09","15 - 24 years","Male","Thousand","43.8"
"Seasonally Adjusted Monthly Unemployment","2008M09","15 - 24 years","Female","Thousand","25.5"
"Seasonally Adjusted Monthly Unemployment","2008M09","15 - 74 years","Both sexes","Thousand","182.4"
"Seasonally Adjusted Monthly Unemployment","2008M09","15 - 74 years","Male","Thousand","115.1"
"Seasonally Adjusted Monthly Unemployment","2008M09","15 - 74 years","Female","Thousand","67.3"
"Seasonally Adjusted Monthly Unemployment","2008M09","25 - 74 years","Both sexes","Thousand","113.2"
"Seasonally Adjusted Monthly Unemployment","2008M09","25 - 74 years","Male","Thousand","71.4"
"Seasonally Adjusted Monthly Unemployment","2008M09","25 - 74 years","Female","Thousand","41.8"
"Seasonally Adjusted Monthly Unemployment","2008M10","15 - 24 years","Both sexes","Thousand","69.9"
"Seasonally Adjusted Monthly Unemployment","2008M10","15 - 24 years","Male","Thousand","46.3"
"Seasonally Adjusted Monthly Unemployment","2008M10","15 - 24 years","Female","Thousand","23.6"
"Seasonally Adjusted Monthly Unemployment","2008M10","15 - 74 years","Both sexes","Thousand","190.3"
"Seasonally Adjusted Monthly Unemployment","2008M10","15 - 74 years","Male","Thousand","122.4"
"Seasonally Adjusted Monthly Unemployment","2008M10","15 - 74 years","Female","Thousand","67.9"
"Seasonally Adjusted Monthly Unemployment","2008M10","25 - 74 years","Both sexes","Thousand","120.4"
"Seasonally Adjusted Monthly Unemployment","2008M10","25 - 74 years","Male","Thousand","76"
"Seasonally Adjusted Monthly Unemployment","2008M10","25 - 74 years","Female","Thousand","44.3"
"Seasonally Adjusted Monthly Unemployment","2008M11","15 - 24 years","Both sexes","Thousand","71.5"
"Seasonally Adjusted Monthly Unemployment","2008M11","15 - 24 years","Male","Thousand","48.3"
"Seasonally Adjusted Monthly Unemployment","2008M11","15 - 24 years","Female","Thousand","23.2"
"Seasonally Adjusted Monthly Unemployment","2008M11","15 - 74 years","Both sexes","Thousand","199.2"
"Seasonally Adjusted Monthly Unemployment","2008M11","15 - 74 years","Male","Thousand","130.2"
"Seasonally Adjusted Monthly Unemployment","2008M11","15 - 74 years","Female","Thousand","69"
"Seasonally Adjusted Monthly Unemployment","2008M11","25 - 74 years","Both sexes","Thousand","127.7"
"Seasonally Adjusted Monthly Unemployment","2008M11","25 - 74 years","Male","Thousand","81.9"
"Seasonally Adjusted Monthly Unemployment","2008M11","25 - 74 years","Female","Thousand","45.8"
"Seasonally Adjusted Monthly Unemployment","2008M12","15 - 24 years","Both sexes","Thousand","73.7"
"Seasonally Adjusted Monthly Unemployment","2008M12","15 - 24 years","Male","Thousand","50.4"
"Seasonally Adjusted Monthly Unemployment","2008M12","15 - 24 years","Female","Thousand","23.3"
"Seasonally Adjusted Monthly Unemployment","2008M12","15 - 74 years","Both sexes","Thousand","209.7"
"Seasonally Adjusted Monthly Unemployment","2008M12","15 - 74 years","Male","Thousand","138.4"
"Seasonally Adjusted Monthly Unemployment","2008M12","15 - 74 years","Female","Thousand","71.3"
"Seasonally Adjusted Monthly Unemployment","2008M12","25 - 74 years","Both sexes","Thousand","136"
"Seasonally Adjusted Monthly Unemployment","2008M12","25 - 74 years","Male","Thousand","88"
"Seasonally Adjusted Monthly Unemployment","2008M12","25 - 74 years","Female","Thousand","48"
"Seasonally Adjusted Monthly Unemployment","2009M01","15 - 24 years","Both sexes","Thousand","78.6"
"Seasonally Adjusted Monthly Unemployment","2009M01","15 - 24 years","Male","Thousand","52.6"
"Seasonally Adjusted Monthly Unemployment","2009M01","15 - 24 years","Female","Thousand","26"
"Seasonally Adjusted Monthly Unemployment","2009M01","15 - 74 years","Both sexes","Thousand","233.6"
"Seasonally Adjusted Monthly Unemployment","2009M01","15 - 74 years","Male","Thousand","154.3"
"Seasonally Adjusted Monthly Unemployment","2009M01","15 - 74 years","Female","Thousand","79.3"
"Seasonally Adjusted Monthly Unemployment","2009M01","25 - 74 years","Both sexes","Thousand","155"
"Seasonally Adjusted Monthly Unemployment","2009M01","25 - 74 years","Male","Thousand","101.7"
"Seasonally Adjusted Monthly Unemployment","2009M01","25 - 74 years","Female","Thousand","53.3"
"Seasonally Adjusted Monthly Unemployment","2009M02","15 - 24 years","Both sexes","Thousand","83.1"
"Seasonally Adjusted Monthly Unemployment","2009M02","15 - 24 years","Male","Thousand","55.1"
"Seasonally Adjusted Monthly Unemployment","2009M02","15 - 24 years","Female","Thousand","28"
"Seasonally Adjusted Monthly Unemployment","2009M02","15 - 74 years","Both sexes","Thousand","252.2"
"Seasonally Adjusted Monthly Unemployment","2009M02","15 - 74 years","Male","Thousand","167.5"
"Seasonally Adjusted Monthly Unemployment","2009M02","15 - 74 years","Female","Thousand","84.7"
"Seasonally Adjusted Monthly Unemployment","2009M02","25 - 74 years","Both sexes","Thousand","169.1"
"Seasonally Adjusted Monthly Unemployment","2009M02","25 - 74 years","Male","Thousand","112.3"
"Seasonally Adjusted Monthly Unemployment","2009M02","25 - 74 years","Female","Thousand","56.7"
"Seasonally Adjusted Monthly Unemployment","2009M03","15 - 24 years","Both sexes","Thousand","88.3"
"Seasonally Adjusted Monthly Unemployment","2009M03","15 - 24 years","Male","Thousand","58.8"
"Seasonally Adjusted Monthly Unemployment","2009M03","15 - 24 years","Female","Thousand","29.5"
"Seasonally Adjusted Monthly Unemployment","2009M03","15 - 74 years","Both sexes","Thousand","268.5"
"Seasonally Adjusted Monthly Unemployment","2009M03","15 - 74 years","Male","Thousand","179.6"
"Seasonally Adjusted Monthly Unemployment","2009M03","15 - 74 years","Female","Thousand","88.8"
"Seasonally Adjusted Monthly Unemployment","2009M03","25 - 74 years","Both sexes","Thousand","180.2"
"Seasonally Adjusted Monthly Unemployment","2009M03","25 - 74 years","Male","Thousand","120.8"
"Seasonally Adjusted Monthly Unemployment","2009M03","25 - 74 years","Female","Thousand","59.4"
"Seasonally Adjusted Monthly Unemployment","2009M04","15 - 24 years","Both sexes","Thousand","93.9"
"Seasonally Adjusted Monthly Unemployment","2009M04","15 - 24 years","Male","Thousand","63.1"
"Seasonally Adjusted Monthly Unemployment","2009M04","15 - 24 years","Female","Thousand","30.7"
"Seasonally Adjusted Monthly Unemployment","2009M04","15 - 74 years","Both sexes","Thousand","283"
"Seasonally Adjusted Monthly Unemployment","2009M04","15 - 74 years","Male","Thousand","190.7"
"Seasonally Adjusted Monthly Unemployment","2009M04","15 - 74 years","Female","Thousand","92.3"
"Seasonally Adjusted Monthly Unemployment","2009M04","25 - 74 years","Both sexes","Thousand","189.2"
"Seasonally Adjusted Monthly Unemployment","2009M04","25 - 74 years","Male","Thousand","127.6"
"Seasonally Adjusted Monthly Unemployment","2009M04","25 - 74 years","Female","Thousand","61.6"
"Seasonally Adjusted Monthly Unemployment","2009M05","15 - 24 years","Both sexes","Thousand","97.6"
"Seasonally Adjusted Monthly Unemployment","2009M05","15 - 24 years","Male","Thousand","65.7"
"Seasonally Adjusted Monthly Unemployment","2009M05","15 - 24 years","Female","Thousand","31.9"
"Seasonally Adjusted Monthly Unemployment","2009M05","15 - 74 years","Both sexes","Thousand","293.7"
"Seasonally Adjusted Monthly Unemployment","2009M05","15 - 74 years","Male","Thousand","198"
"Seasonally Adjusted Monthly Unemployment","2009M05","15 - 74 years","Female","Thousand","95.7"
"Seasonally Adjusted Monthly Unemployment","2009M05","25 - 74 years","Both sexes","Thousand","196.1"
"Seasonally Adjusted Monthly Unemployment","2009M05","25 - 74 years","Male","Thousand","132.3"
"Seasonally Adjusted Monthly Unemployment","2009M05","25 - 74 years","Female","Thousand","63.8"
"Seasonally Adjusted Monthly Unemployment","2009M06","15 - 24 years","Both sexes","Thousand","97.5"
"Seasonally Adjusted Monthly Unemployment","2009M06","15 - 24 years","Male","Thousand","65.5"
"Seasonally Adjusted Monthly Unemployment","2009M06","15 - 24 years","Female","Thousand","32"
"Seasonally Adjusted Monthly Unemployment","2009M06","15 - 74 years","Both sexes","Thousand","296.7"
"Seasonally Adjusted Monthly Unemployment","2009M06","15 - 74 years","Male","Thousand","199.7"
"Seasonally Adjusted Monthly Unemployment","2009M06","15 - 74 years","Female","Thousand","97"
"Seasonally Adjusted Monthly Unemployment","2009M06","25 - 74 years","Both sexes","Thousand","199.2"
"Seasonally Adjusted Monthly Unemployment","2009M06","25 - 74 years","Male","Thousand","134.2"
"Seasonally Adjusted Monthly Unemployment","2009M06","25 - 74 years","Female","Thousand","65"
"Seasonally Adjusted Monthly Unemployment","2009M07","15 - 24 years","Both sexes","Thousand","95.9"
"Seasonally Adjusted Monthly Unemployment","2009M07","15 - 24 years","Male","Thousand","64.3"
"Seasonally Adjusted Monthly Unemployment","2009M07","15 - 24 years","Female","Thousand","31.6"
"Seasonally Adjusted Monthly Unemployment","2009M07","15 - 74 years","Both sexes","Thousand","299"
